round,rep,step,region,center_dist
2,5,3,20,7.25
2,5,4,24,7.353783040041364
2,5,5,37,9.62405574482982
2,5,6,20,7.25
2,5,7,5,3.922867431979939
2,6,1,15,6.324555320336759
2,6,2,9,8.980882473343028
2,7,1,15,6.324555320336759
2,7,2,23,4.257346591481601
2,7,3,28,4.272001872658765
2,7,4,33,4.83620604284897
2,8,1,38,2.102379604162864
2,8,2,27,3.0413812651491097
2,9,1,38,2.102379604162864
2,9,2,0,4.031128874149275
2,9,3,28,4.272001872658765
2,9,4,24,7.353783040041364
2,9,5,26,9.300537618869138
2,10,1,38,2.102379604162864
2,10,2,27,3.0413812651491097
2,11,1,5,3.922867431979939
2,11,2,0,4.031128874149275
2,11,3,20,7.25
2,11,4,24,7.353783040041364
2,11,5,26,9.300537618869138
2,12,1,5,3.922867431979939
2,12,2,23,4.257346591481601
2,12,3,28,4.272001872658765
2,12,4,38,2.102379604162864
2,12,5,27,3.0413812651491097
2,12,6,28,4.272001872658765
2,13,1,15,6.324555320336759
2,13,2,23,4.257346591481601
2,13,3,12,5.60257877132387
2,13,4,28,4.272001872658765
2,13,5,33,4.83620604284897
2,14,1,5,3.922867431979939
2,14,2,0,4.031128874149275
2,14,3,20,7.25
2,14,4,24,7.353783040041364
2,14,5,26,9.300537618869138
2,15,1,15,6.324555320336759
2,15,2,23,4.257346591481601
2,15,3,12,5.60257877132387
2,15,4,28,4.272001872658765
2,15,5,38,2.102379604162864
2,15,6,1,0.3726779962499656
2,16,1,15,6.324555320336759
2,16,2,23,4.257346591481601
2,16,3,12,5.60257877132387
2,16,4,4,5.667892024377317
2,17,1,38,2.102379604162864
2,17,2,1,0.3726779962499656
2,17,3,23,4.257346591481601
2,17,4,27,3.0413812651491097
2,17,5,28,4.272001872658765
2,17,6,27,3.0413812651491097
2,17,7,1,0.3726779962499656
2,17,8,38,2.102379604162864
2,18,1,5,3.922867431979939
2,18,2,30,6.370371469000942
2,19,1,15,6.324555320336759
2,19,2,11,7.516648189186454
2,19,3,20,7.25
2,20,1,38,2.102379604162864
2,20,2,1,0.3726779962499656
2,20,3,23,4.257346591481601
2,20,4,27,3.0413812651491097
2,20,5,28,4.272001872658765
2,20,6,27,3.0413812651491097
2,20,7,1,0.3726779962499656
2,20,8,38,2.102379604162864
2,21,1,38,2.102379604162864
2,21,2,1,0.3726779962499656
2,21,3,23,4.257346591481601
2,21,4,27,3.0413812651491097
2,21,5,28,4.272001872658765
